Donor ID,Donor City,Donor State,Donor Is Teacher,Donor Zip
d43534de4027fde125fec3e42041e32d,Indianapolis,Indiana,Yes,443
4bce4e18802baa4d0d83b6b1acc546e8,Cleveland,Ohio,Yes,842
1190f938a66fd7f739669fa759970043,Chicago,Illinois,No,982
dab6ada71be8b42239404e6abea0a71c,Raleigh,North Carolina,Yes,502
2b5c701773e1ba289aac03da45ea2259,Las Vegas,Nevada,No,938
b9bfebe5adef9df3e2edc655a1820034,Columbus,Ohio,No,801
24faba8361e178a9f0f74458ba77d49c,New York,New York,No,720
a2fd2eec1dba18d7fd7015633110e698,New York,New York,No,561
24e75e8eb8f2142303edd1f874f93d17,Queens,New York,No,86
5669de53f253e6a8143fab71e60c8ea9,Charlotte,North Carolina,Yes,562
c430d85a4d81c523241b97d6c3ce1e6d,Louisville,Kentucky,No,487
707e5c7e8fc46d4c0ffc0810781bc63a,Charleston,South Carolina,No,711
c1c9ad53bdc87a0739d8a5d3d84b609f,Sacramento,California,Yes,566
a918caef91b2424e99fc06a92b478887,New York,New York,No,819
6d68683ca83a018e082c00f87e305700,Baltimore,Maryland,No,623
4cffc986c8dd18927993417f81bc82b3,Los Angeles,California,No,370
4182a0e850e6998a15d7d34a0eb24206,Atlanta,Georgia,Yes,611
f810ab1bdf0ac54fda383efa75416ce8,Dallas,Texas,No,657
d27d24893e7a6f93fa74d4a2ccaa6d1e,San Francisco,California,No,384
23ceb93277c9253ff654b699e7b54a15,San Diego,California,Yes,837
cdd5edc0dd0e86c6681d0c0a2abf9719,Richmond,Virginia,No,240
fef1c6e77f90e2243c52f168d81cda03,Cambridge,Massachusetts,No,441
736620c768d4197ca3620fcd0fa215c0,Jersey City,New Jersey,No,106
aca2b148da330aa1541cdfcdda0d4a5f,Jacksonville,Florida,No,651
4408445e28de3999b0343eee774dbfd3,Austin,Texas,No,917
f9006930d2bca866fd61ad8001b89d01,Pittsburgh,Pennsylvania,No,716
946fb1c21d0ca00b583be84244d5b957,Pittsburgh,Pennsylvania,No,889
f45ae59e2ed08a26557b686864445c5a,Boston,Massachusetts,No,569
2e8dcf830399bf578cb5d1e8f93c36c6,Los Angeles,California,No,316
957e31998e3f93323d79f78d6f9abcad,Memphis,Tennessee,No,196
f1e74fa54f9f9597176ca0748a4031c6,Austin,Texas,No,446
ac1e86d8bfbf397bac3e7b0d5e5ba13d,San Jose,California,No,972
d2bf5ad95f374e48a814939602deb1cb,Jersey City,New Jersey,No,235
0476529cba484d890fcc952bce03ee59,Portland,Maine,Yes,329
c7b5b2bc5a8aaeca1a50aec3aabc25fa,San Antonio,Texas,No,777
7c87a4376262fa90712f99dc68dc8979,Burlington,Vermont,No,480
3c9eb0df171ec903cade196bc08c3f51,Washington,District of Columbia,No,400
b605c1031d8d23f44118bf5b9caa05eb,Spokane,Washington,No,691
4871fa175f8b9a54553bd73eec96622d,Portland,Maine,No,972
ba9f5accdbf23175f7004460c737db96,Cambridge,Massachusetts,No,826
8ae8905b54b4a48268586eba6a34c854,New York,New York,Yes,440
12922f83ef8c485bc07a30f2edd4253b,Oakland,California,No,112
e73a9fa8f058b58b7d8f2d2fa26debdc,Seattle,Washington,No,669
018267c47a1b58066160a6b49360715f,Greensboro,North Carolina,No,883
78f228aa8b926dbf903ef9a2ad6cb787,New York,New York,Yes,385
0456137003e0e5d5decb0880896de73c,Richmond,Virginia,No,363
5d6aec64a31f59e50a70105379d1a782,Chicago,Illinois,No,613
14682654d17badd57a0c0a25ca7c7d5e,Boston,Massachusetts,No,575
56fc92d1e344a02db6ba76b723822179,Virginia Beach,Virginia,No,648
e89268c6db7289642fee0bc2f2c03095,Cambridge,Massachusetts,No,639
33ed942e7ef7974a754fc7deb65b2626,Sacramento,California,No,328
887e48bd1cfe1dd1de993b4c2c4ca72a,Chicago,Illinois,No,955
2df1e2fe0fe17e8654eb61758e417e65,Cambridge,Massachusetts,Yes,505
99b0a40241c3066a1b7b1a5e70d1d782,Dallas,Texas,No,294
6ba25efe311c6eb62095eef68dedf9fb,Naperville,Illinois,No,934
6c6f7633a260772317a0df490d01280f,Miami,Florida,Yes,799
a9f2692c56cae11611c851ccbfd3d40b,Miami,Florida,No,470
e83cd58600027b9aa3f24dfe9e1229e2,Cleveland,Ohio,Yes,559
8d66ae7602192e0341ca96f6be9f52c8,Los Angeles,California,Yes,185
332fe6e26452f188602bb2d43f636512,Los Angeles,California,No,649
d50a8d7834918559c88616e290ac5cc6,New Haven,Connecticut,Yes,147
aa0cfa9617b5a70431d0a82bafb506cd,Buffalo,New York,No,972
